Source Language Sentence: ein hauptgrund f r das anwachsen der staatsverschuldung ist amerikas rasch alternde bev
Target Language Sentence: a major reason for the accelerating growth in government debt is america s
Transformer model output: the new york of the past to of the s s a EOS

Source Language Sentence: im hinblick auf alternative energiequellen ist ein grunds tzlicher durchbruch n tig und
Target Language Sentence: we need fundamental breakthroughs in alternative energy sources and soon EOS pad pad
Transformer model output: this is a been a a is and for a a a a

Source Language Sentence: solche andeutungen lassen die europ er erschaudern denn viele menschen verbinden dies mit
Target Language Sentence: that talk is sending shudders across europe where many people connect it with
Transformer model output: many was to no no to a of many of have not are

Source Language Sentence: daher sollte eine gute handelspolitik eine multilaterale handelsliberalisierung anstreben wie die doha runde
Target Language Sentence: so good trade policy should push for multilateral trade liberalization such as at
Transformer model output: it it policies and is be a a and and and and a

Source Language Sentence: diese aktion ging offenbar nach hinten los denn die republikaner denen er vorsteht
Target Language Sentence: that effort appears to have backfired because the republicans that he leads initially
Transformer model output: these was that to be been that these good was he are to

Source Language Sentence: es spricht sich immer mehr herum die usa ndern ihre verteidigungsdoktrin und erm
Target Language Sentence: talk is growing of a change in us defense doctrine to allow for
Transformer model output: it the the and the us and the and and and the and

Source Language Sentence: die libysche jugend legte zwar die gleiche energie an die tag die in
Target Language Sentence: the same energy on display in cairo and tunis was evident among libyan
Transformer model output: the first is states the in the are the to the that the

Source Language Sentence: ein weiteres beispiel ist das sammelsurium an sondervorz gen die dem energiesektor zuteil
Target Language Sentence: another example is the smorgasbord of special benefits provided to the energy sector
Transformer model output: for new of the most of the growth for the the most and

Source Language Sentence: schlie lich hatten erfahrene banker behauptet dass diese verm genswerte falsch bewertet w
Target Language Sentence: after all senior bankers had been claiming that these assets were mispriced and
Transformer model output: many fact that believe would that that that they would would been to

Source Language Sentence: ebenso besorgniserregend ist obamas entscheidung vom august einen gesetzentwurf zu unterschreiben der in
Target Language Sentence: equally distressing is obama s decision in august to sign a bill approved
Transformer model output: according president is a to president to the to the the new of

Source Language Sentence: er m chte einen ausgeglichenen haushalt in form eines zusatzes in der verfassung
Target Language Sentence: he favors a balanced budget amendment to the constitution and hopes to balance
Transformer model output: it is a new sense sense for a way of a for a

Source Language Sentence: hatte amerika wirklich mit seinen berlegenen risikomanagementsystemen geprahlt und war dabei so weit
Target Language Sentence: had america really boasted about its superior risk management systems going so far
Transformer model output: he his of been been his country to to to EOS EOS his

Source Language Sentence: obamas kapitulation veranschaulicht beispielhaft die lehrmeinung dass ein r ckzug oft zum n
Target Language Sentence: obama s surrender exemplified the doctrine that one retreat often leads to another
Transformer model output: new has new minister that new EOS a of that been to a

Source Language Sentence: in der zwischenzeit bleibt das rezessionsrisiko unbequem hoch die arbeitslosenkrise versch rft sich
Target Language Sentence: in the process the risk of recession remains uncomfortably high the unemployment crisis
Transformer model output: the the most of most of the the the the and most and

Source Language Sentence: doch der enorme verm gensverlust der haushalte brachte die realwirtschaft zum erliegen mit
Target Language Sentence: it was the huge loss of households net worth that brought down the
Transformer model output: but is the but but of the with and the the the with

Source Language Sentence: sie bestehen im bereich der sozialpolitik die die hnlichen wirtschaftlichen ma nahmen begleitet
Target Language Sentence: they center on the social policies that would accompany a broadly similar set
Transformer model output: they are the the world states of the the the high of and

Source Language Sentence: wenn wir die widerw rtigen trends des gro en geldes in der politik
Target Language Sentence: unless we break the ugly trends of big money in politics and rampant
Transformer model output: if if are to global of of the and if the if we

Source Language Sentence: egal wie sich die rhetorik beispielsweise in frankreich auch anh rt die politik
Target Language Sentence: whatever the rhetoric in france for example the policies and attitudes in countries
Transformer model output: as example most of africa has example is us of africa of africa

Source Language Sentence: kurz vor der pr sidentenwahl im jahr wurde ein videoband von osama bin
Target Language Sentence: in shortly before the election osama bin laden released a video tape that
Transformer model output: indeed fact the the last a a a in a last in of

Source Language Sentence: damit die us regierung weiter p nktlich ihre rechnungen zahlen kann muss sie
Target Language Sentence: it must be raised again this summer if the united states government is
Transformer model output: the must be the to to the to the us bank to to

Source Language Sentence: der optimale zeitpunkt f r ausgabenk rzungen ist in wahrheit schwierig zu entscheiden
Target Language Sentence: the appropriate timing of fiscal retrenchment is in fact difficult to decide EOS
Transformer model output: the most is is africa is is that the that to the that

Source Language Sentence: das typische argument ist hier was ist mit dem armen kerl der eine
Target Language Sentence: the typical argument one hears is what about the poor guy with the
Transformer model output: the most is is is is a is it most is is a

Source Language Sentence: vizepr sident joe biden hat sogar gemeint dass es bei der sozialversicherung keine
Target Language Sentence: vice president joe biden has even said that no changes to social security
Transformer model output: his president was was was been been that it country was a was

Source Language Sentence: weil der gr te anteil des us handelsdefizits auf china entf llt ein
Target Language Sentence: because the biggest share of the us trade gap is with china a
Transformer model output: indeed the us union of the us which union have the the s

Source Language Sentence: vierundf nfzig jahre nach der bekanntgabe des schuman plans der die volkswirtschaften frankreichs
Target Language Sentence: fifty four years after the announcement of the schuman plan that began to
Transformer model output: indeed of of of the past of the past in in the from

Source Language Sentence: wir alle k nnen von der soft power eines erweiterten europa profitieren EOS
Target Language Sentence: we can all benefit from the soft power of an enlarged europe EOS
Transformer model output: we can be be that the global of of the global of EOS

Source Language Sentence: was die werte betrifft gibt es zwar zwischen europa und amerika manche unterschiede
Target Language Sentence: in terms of values while some differences exist between europe and america at
Transformer model output: europe the of europe the the europe the the the and the is

Source Language Sentence: nbsp nbsp nbsp nbsp nbsp nbsp nbsp zu geringe investitionen in den staatlichen
Target Language Sentence: nbsp nbsp nbsp nbsp nbsp nbsp nbsp underinvestment in the public sector including
Transformer model output: in the the the the the the the the the united and and

Source Language Sentence: in erschreckenden der haushalte berichtete man von krankheitssymptomen die wahrscheinlich mit typhusinfektionen in
Target Language Sentence: a frightening of households reported symptoms likely related to typhoid EOS pad pad
Transformer model output: in united in africa in in in in in the in in in

Source Language Sentence: und statt den finalen urknall zu suchen sorgte er immer wieder f r
Target Language Sentence: and he eschewed the search for the single big bang in favor of
Transformer model output: he he was also new of his new father father a his and

Source Language Sentence: vor langer langer zeit so will es jedenfalls der mythos war amerika ein
Target Language Sentence: once upon a time according to mythology at least america had little downward
Transformer model output: he it it fact has to be has it it has a than

Source Language Sentence: die amerikaner teilten den japanern damals nachdr cklich mit dass der einzige weg
Target Language Sentence: americans firmly told japan that the only way to clean up its economy
Transformer model output: the recognize recognize the that the world president that the the that government

Source Language Sentence: es ist ja nicht so als ob die us regierung mit ihrem trotz
Target Language Sentence: it is not like the us government running a huge deficit despite an
Transformer model output: it is not the the us between and who right government of the

Source Language Sentence: somit h tten vorgehensweisen die darauf abzielen die besch ftigung bis zum sagen
Target Language Sentence: thus policies aimed at boosting employment by the end of say this calendar
Transformer model output: if the to to the to to the EOS of the of s

Source Language Sentence: und je l nger amerikas politiker brauchen um das problem der schuldengrenze zu
Target Language Sentence: and the longer america s politicians take to resolve the debt ceiling issue
Transformer model output: the the most countries is countries need to the the most is is

Source Language Sentence: die qualitativen parallelen sind offenkundig banken die nicht in den bilanzen ausgewiesene kredite
Target Language Sentence: the qualitative parallels are obvious banks using off balance loans to finance highly
Transformer model output: the us of that not to to the the that to the the

Source Language Sentence: kronprinz abdullah leistete keinen deut widerstand was f r die von ihm initiierte
Target Language Sentence: crown prince abdullah offered not a peep of opposition leaving the reform agenda
Transformer model output: yet his putin of been been good of his to his EOS of

Source Language Sentence: ein kompromiss w rde es beiden parteien erlauben einen teilsieg f r sich
Target Language Sentence: a compromise would allow both parties to declare partial victory for it would
Transformer model output: would new would be a a to the a and and the would

Source Language Sentence: an der politischen front gibt es ebenfalls grund zur unruhe EOS pad pad
Target Language Sentence: the policy front will be equally unsettling EOS pad pad pad pad pad
Transformer model output: there most is is be a is EOS for for for for for

Source Language Sentence: welches unternehmen w rde sich nicht auf investitionsm glichkeiten st rzen die renditen
Target Language Sentence: what business wouldn t jump at investment opportunities yielding returns in excess of
Transformer model output: the would would not have and their and to not to their and

Source Language Sentence: in einer idealen welt w rde der n chste us pr sident schnellstm
Target Language Sentence: in an ideal world america s next president would rapidly embark on a
Transformer model output: in the world world s s us us president be the to the

Source Language Sentence: ausweitung au erordentlicher interventionsma nahmen durch die us notenbank EOS pad pad pad
Target Language Sentence: expansion of extraordinary policy interventions by the federal reserve EOS pad pad pad
Transformer model output: indeed are us are are EOS the EOS EOS EOS EOS EOS EOS

Source Language Sentence: diese fragen sind auch heute noch relevant und die erstellung eines regelwerks zur
Target Language Sentence: these issues remain relevant today and the establishment of rules that preserve access
Transformer model output: these are are been and and the other of the are are are

Source Language Sentence: aus dem gleichen grund bin ich allerdings optimistisch dass es nach den wahlen
Target Language Sentence: but for the same reason i am optimistic that the stalemate will end
Transformer model output: but i i fact i that believe no i i fact is not

Source Language Sentence: obamas politik w rde daher zu noch h heren defiziten und schuldenquoten von
Target Language Sentence: the obama policy would thus lead to ever higher deficits and debt ratios
Transformer model output: moreover result would would be be to a a and and a to

Source Language Sentence: ein gro er teil der armen mehrheit auf dieser welt steckt in einem
Target Language Sentence: much of the poor majority of the world is mired in a vicious
Transformer model output: in of the world countries of the world is a in the world

Source Language Sentence: an einem tag befindet sich das land an der schwelle zu einer doppelten
Target Language Sentence: one day the country is on the brink of a double dip recession
Transformer model output: a of of country of a a country of a country of EOS

Source Language Sentence: angesichts der unsicherheit der europ ischen finanzen und chinas verlangsamung ist eine stagnierende
Target Language Sentence: with uncertainty plaguing europe s finances and china slowing the last thing the
Transformer model output: europe europe and europe and european and europe is europe european european EOS

Source Language Sentence: us regierungsvertreter nennen dies manipulation und argumentieren dass die marktkr fte zu einer
Target Language Sentence: american officials call this manipulation arguing that market forces would have resulted in
Transformer model output: moreover and that that us that that the and and be been and

Source Language Sentence: zudem k nnte saddam schon massenvernichtungswaffen besitzen bisher aber davon abgehalten worden sein
Target Language Sentence: moreover saddam may already possess a weapon of mass destruction but has been
Transformer model output: but these may be be the same but the but but they been

Source Language Sentence: angesichts der tatsache dass die us regierung derzeit etwa von jedem ausgegebenen dollar
Target Language Sentence: with the us government now borrowing around of every dollar it spends a
Transformer model output: indeed the fact has has the of the the crisis has has that

Source Language Sentence: die menschen in haiti verdienen ebenso wie die steuerzahler in den usa ein
Target Language Sentence: the people of haiti as well as us taxpayers deserve a system that
Transformer model output: in us in the in a a a in in in us in

Source Language Sentence: ungl cklicherweise sind die parallelen zwischen der gegenw rtigen krise in den usa
Target Language Sentence: unfortunately the parallel between today s us crisis and previous financial crises is
Transformer model output: the the us states the and economic and and the are are in

Source Language Sentence: die usa konnten zwischen dollar und gold keinen festen wechselkurs mehr aufrechterhalten der
Target Language Sentence: the us could no longer maintain a fixed exchange rate between the dollar
Transformer model output: the us is be the be a us and and and the us

Source Language Sentence: der stresstest sollte der ffentlichkeit signalisieren dass keine unmittelbare gefahr durch den konkurs
Target Language Sentence: the stress tests were meant to signal to the public that there was
Transformer model output: the us that that that that the that the us and the should

Source Language Sentence: wahrscheinlich hat kein anderer gouverneur eines staates die politische macht gegen die flut
Target Language Sentence: probably no other state governor has the political clout to win against the
Transformer model output: yet has political economic has has been eu term to the a the

Source Language Sentence: in den meisten f llen handelt es sich um ann herungen an den
Target Language Sentence: most only partially approach the ideal case of clean air where none can
Transformer model output: in countries many are in most of in africa in in many of

Source Language Sentence: manchmal ger t man in versuchung unl sbare konflikte einfach weiter schw ren
Target Language Sentence: it is sometimes tempting to let intractable conflicts fester and there are some
Transformer model output: but is not been to do they are not EOS EOS EOS not

Source Language Sentence: das hei t nicht dass die erholung der haushalte in der zeit nach
Target Language Sentence: this does not mean that recovery of households balance sheets can be ignored
Transformer model output: the is not be that the is the is is is not not

Source Language Sentence: die us wirtschaft wird sich auch in einem immer schwierigeren weltweiten umfeld bewegen
Target Language Sentence: the us economy will also be operating in a more difficult global environment
Transformer model output: the us has has be be a in the global global to economy

Source Language Sentence: allerdings sind die durchschnittlichen wachstumsraten des bip in den neuen mitgliedsl ndern zweimal
Target Language Sentence: but average gdp growth rates in the new members are twice as high
Transformer model output: but in are are are in the world crisis of a in a

Source Language Sentence: die n chsten wochen werden jede menge an politischer dramatik bieten EOS pad
Target Language Sentence: the next few weeks will provide plenty of political drama EOS pad pad
Transformer model output: the first crisis will of be the of the debt EOS EOS EOS

Source Language Sentence: in drei vierteln der st dtischen wasserquellen fanden die wissenschaftler einen hohen grad
Target Language Sentence: researchers found three quarters of water sources in the city contained high levels
Transformer model output: in on the of of the rates on the past of on and

Source Language Sentence: da hat er vielleicht recht aber wir vergessen manchmal dass das gegenteil von
Target Language Sentence: machiavelli may be correct but we sometimes forget that the opposite of love
Transformer model output: but that not the that it know believe that the world is the

Source Language Sentence: dar ber hinaus war er un bertroffen wenn es darum ging dem publikum
Target Language Sentence: moreover he excelled at selling to audiences worldwide both his vision and his
Transformer model output: he he was was his a his his his his minister of he

Source Language Sentence: verbrennt es allerdings unkontrolliert stellt die freisetzung von klathraten in die atmosph re
Target Language Sentence: if not burned in a controlled way the release of raw clathrates into
Transformer model output: but the the the the most of that most of the the the

Source Language Sentence: obamas wahlkampfteam bek mpft romney bez glich medicare und die romneys team attackiert
Target Language Sentence: the obama campaign is pummeling romney on medicare and the romney campaign is
Transformer model output: the world s of the on on the and the world of to

Source Language Sentence: trotzdem hat derstern report recht wenn er argumentiert dass die potenziellen risiken anhaltender
Target Language Sentence: but thestern report is still right to argue that the potential risks of
Transformer model output: yet the the that the the that the that the past s s

Source Language Sentence: anschlie end wird er dann zur versteigerung angeboten und von mittelsm nnern wieder
Target Language Sentence: it is then put up for auction and repurchased by agents who in
Transformer model output: he will expected his by by his his his to the to will

Source Language Sentence: amerika ist momentan aufgrund des problems das es sich mit dem irak geschaffen
Target Language Sentence: america is currently transfixed with the problem it has created for itself in
Transformer model output: it is the the in the us in is been in the to

Source Language Sentence: nach dem parteitag der republikaner wiesen die meinungsumfragen anfang september einen vorsprung f
Target Language Sentence: after the republican convention polls showed mccain ahead in early september but after
Transformer model output: after the last years to the that that in the and s the

Source Language Sentence: der gewinner wird n chstes jahr ein mageres wirtschaftswachstum von h chstens vorfinden
Target Language Sentence: whoever wins will face an economy growing at a sluggish or less next
Transformer model output: the will to be a new in growth the country government time to

Source Language Sentence: was den zweiten punkt angeht gibt es besorgniserregende neuere meldungen dass das us
Target Language Sentence: on the second front there are distressing recent reports that the us commerce
Transformer model output: indeed the most fact there is the that people that the most has

Source Language Sentence: ohne die bereits zugesagten und erwarteten mittel geriet haiti bei den r ckzahlungen
Target Language Sentence: deprived of funds that had already been committed and expected haiti fell into
Transformer model output: despite and the and the been been and and and to and the

Source Language Sentence: den aufstieg der chinesischen macht im sinne der entwicklung dieses landes zu einem
Target Language Sentence: welcoming the rise of chinese power in terms of that country s becoming
Transformer model output: the has us of the growth in the of the has has economic

Source Language Sentence: doch konnten diesmal die entwicklungsl nder nicht widerstehen die scheinheiligkeit des ganzen zu
Target Language Sentence: but this time developing countries could not resist commenting on the hypocrisy of
Transformer model output: but the countries have countries have not be the in the most of

Source Language Sentence: die zwingende logik eines so vern nftigen vorschlags ist genau der grund warum
Target Language Sentence: its compelling logic is precisely why there is little chance that such a
Transformer model output: the is is is that that the is the of of the the

Source Language Sentence: auf den ersten blick schien das die transatlantischen beziehung zu st rken EOS
Target Language Sentence: at first sight this seems to bode well for the transatlantic relationship EOS
Transformer model output: the the the the year to the the the the first council EOS

Source Language Sentence: doch im m rz ordnete sein halbbruder und m chtigerer rivale prinz naif
Target Language Sentence: but his half brother and more powerful rival prince naif the minister of
Transformer model output: but it people of and my been people in people the but of

Source Language Sentence: eine derartige politik w rde sich auf wirtschaftswachstum haushaltsdefizit nationale ersparnisse und damit
Target Language Sentence: these policies would affect us economic growth the budget deficit national saving and
Transformer model output: the would would be a and and and eu and and and and

Source Language Sentence: die wiederherstellung des gleichgewichts und die beseitigung der verzerrungen sollten der schwerpunkt amerikanischer
Target Language Sentence: restoring balance and eliminating the distortions will require time investment and structural change
Transformer model output: the the and the the world of the the the and the and

Source Language Sentence: der ankauf von verm genswerten durch das us finanzministerium und andere us bundesunternehmen
Target Language Sentence: asset purchases by the us treasury and other executive branch entities to reduce
Transformer model output: the and by the us and and us and and the that the

Source Language Sentence: gleichwohl ist es wahrscheinlich dass die usa auch nachdem sie sich aus dem
Target Language Sentence: nevertheless the us is likely to remain the world s preponderant power even
Transformer model output: it it us is not to the the us is economic in and

